Label Label Name,Artist Artist Name,Release Release Name,Release Display UPC,EOID,Release Genre,Release Catalog Number,Release Imprint Name,Release Release Date,Release Sale Start Date,Notes
"51 Lex Records, Ltd.",Sis. Juliana Okah,Song of Freedom (Non-Stop),1.90375E+11,18642288 / 18642566,Christian,OVL 008,Oceanic Video Link Ltd (Q),2016-10-06,2016-10-06,
"51 Lex Records, Ltd.",NDK TRAP STAR,Money,1.96925E+11,18642288 / 18642566,World Music,5208NX0,Ohra Music,14/06/2022,14/06/2022,
"51 Lex Records, Ltd.",Eighton Sente,Charge Yo Fone,1.91018E+11,18642288 / 18642566,Reggae,Afriug 110,Africha Entertainment (Eighton Sente) Limited,2016-05-08,2016-05-08,
"51 Lex Records, Ltd.",Sharkisz,Shine,1.98588E+11,18642288 / 18642566,World Music,9817NX0,Isz record entertainment,19/05/2024,19/05/2024,
"51 Lex Records, Ltd.",Ogbunigwe,Prayer,1.98588E+11,18642288 / 18642566,Christian,Starpoint087,Starpoint Entertainment,2024-11-06,2024-11-06,
"51 Lex Records, Ltd.",Lovedoctor,Africa Lead The Way,1.99067E+11,18642288 / 18642566,World Music,11226SN0,Abraham Awolowo,13/01/2025,13/01/2025,
"51 Lex Records, Ltd.",Evang. Nnamdi Ewenighi,The Live Praise,1.97187E+11,18642288 / 18642566,Christian,GHM21,God's hand music,17/11/2022,17/11/2022,
"51 Lex Records, Ltd.",Nnamdi Olebara,Onye Ebere,1.99067E+11,18642288 / 18642566,World Music,PM408,Universal View Productions Ltd,2025-08-02,2025-08-02,
"51 Lex Records, Ltd.",DAVID AB STYLE,I no go fail,1.97189E+11,18642288 / 18642566,Christian,Ghm132,God's hand music,16/04/2023,16/04/2023,
"51 Lex Records, Ltd.",Maloxman,My Time,1.98391E+11,18642288 / 18642566,World Music,9239NX0,Maloxman,2024-09-02,2024-09-02,
"51 Lex Records, Ltd.",Odenigbo Ogidi,Chi Ndi Na Ekpere,1.99066E+11,18642288 / 18642566,World Music,CMML 251,C. Meks Music Int'l Ltd.,18/12/2024,18/12/2024,
"51 Lex Records, Ltd.",MckNasty,Brass Man,1.9935E+11,18642288 / 18642566,Electronic,WTA 001,Fireball Music,18/07/2019,18/07/2019,
"51 Lex Records, Ltd.",Amina Ssekitooleko,Byandi Mpangudde,1.91773E+11,18642288 / 18642566,World Music,UPRS 3686,Uganda Performing Right (Kandogo Kamu) Society,2017-01-06,2017-01-06,
"51 Lex Records, Ltd.",Sis. Ifeoma Ikechukwu,Goodness of God,1.96006E+11,18642288 / 18642566,World Music,PME 007,Paradise Music Entertainment,2021-08-03,2021-08-03,
"51 Lex Records, Ltd.",Wireless Opp,Pain killer,1.97189E+11,18642288 / 18642566,Hip-hop/Rap,8075NX0,Wirenation,16/06/2023,16/06/2023,
"51 Lex Records, Ltd.",Ben Favour,Onye N'eme Nma,1.97187E+11,18642288 / 18642566,Christian,Mr87,majority recording company,2022-06-10,2022-06-10,
"51 Lex Records, Ltd.",Helen Chani,Obim,1.9719E+11,18642288 / 18642566,Christian,Jpd059,Helen Chani,20/11/2023,20/11/2023,
"51 Lex Records, Ltd.",Apst. Ifeanyichukwu Onyeachonam,Sing Unto the Lord,1.9719E+11,18642288 / 18642566,World Music,JPM 027,Jump & Pass Music,2023-04-08,2023-04-08,
